QKEY,INTERVIEW_START_W140,INTERVIEW_END_W140,DEVICE_TYPE_W140,LANG_W140,FORM_W140,SATIS_W140,YEARAHEAD_W140,POL1JB_W140,POL1JBSTR_W140,JBSUCCESS_W140,BIDENDESC_ORD_W140,BIDENDESC_MENT_W140,BIDENDESC_STND_W140,BIDENDESC_HON_W140,BIDENDESC_INSP_W140,BIDENDESC_GETDN_W140,BIDENDESC_ENER_W140,BIDENDESC_STRN_W140,BIDENDESC_MDL_W140,BIDENDESC_TEMP_W140,INCREMENTAL_W140,INSTN_CHR_W140,INSTN_CLGS_W140,INSTN_LBRUN_W140,INSTN_TECHCMP_W140,INSTN_SMBUS_W140,INSTN_K12_W140,INSTN_BNKS_W140,INSTN_MIL_W140,INSTN_LGECRP_W140,INSTN2_CHR_W140,INSTN2_CLGS_W140,INSTN2_LBRUN_W140,INSTN2_TECHCMP_W140,INSTN2_SMBUS_W140,INSTN2_K12_W140,INSTN2_BNKS_W140,INSTN2_MIL_W140,INSTN2_LGECRP_W140,DECISION_W140,WINLOSE_W140,PRIPRES_JOB_W140,PRIPRES_BD_W140,PRIPRES_DTRD_W140,PRIPRES_ENV_W140,PRIPRES_TER_W140,PRIPRES_EC_W140,PRIPRES_GCC_W140,PRIPRES_EDU_W140,PRIPRES_HC_W140,PRIPRES_CRI_W140,PRIPRES_GT_W140,PRIPRES_INF_W140,PRIPRES_RA_W140,PRIPRES_SC_W140,PRIPRES_MON_W140,PRIPRES_POOR_W140,PRIPRES_MIL_W140,PRIPRES_NRG_W140,PRIPRES_IMM_W140,PRIPRES_POL_W140,PRESWITHOP_W140,OPWITHPRES_W140,ECON1_W140,ECON1B_W140,ECONCONC_PRICE_W140,ECONCONC_UNEM_W140,ECONCONC_REAL_W140,ECONCONC_STCK_W140,ECONCONC_ENG2_W140,ECONCONC_BANK_W140,HGSTNDRD_W140,HGSTNDRD2_W140,MARIJUANA3_W140,MARIJ_STRICT_W140,MARIJ_CRIME_W140,MARIJ_ECON_W140,MARIJ_FAIR_W140,MARIJ_DRUG_W140,EXCPWER_W140,TALKIMP_W140,TALKCONF_W140,VTPRIORITY_ATO_W140,VTPRIORITY_HLDY_W140,VTPRIORITY_FLN_W140,VTPRIORITY_RMVVT_W140,VTPRIORITY_BLT_CL_W140,VTPRIORITY_GOVID_W140,VTPRIORITY_PPR_W140,VTPRIORITY_ERLY_W140,VTPRIORITY_ML_W140,VTPRIORITY_REGED_W140,UNDROPPL_W140,UNIONDROP_W140,BORDER_CL_W140,BRDERJOB_W140,IMM_CRISIS_W140,IMMFACT_NOOPP_W140,IMMFACT_USOPP_W140,IMMFACT_VIOL_W140,IMMFACT_FRDM_W140,IMMFACT_POL_W140,IMMCRIMM_W140,IMMPOLIMPCT_DPRT_W140,IMMPOLIMPCT_BUS_W140,IMMPOLIMPCT_AID_W140,IMMPOLIMPCT_HRD_W140,IMMPOLIMPCT_COND_W140,IMMPOLIMPCT_RCS_W140,IMMPOLIMPCT_OPP_W140,IMMPOLIMPCT_WALL_W140,IMMPOLIMPCT_WORK_W140,NEWYR_W140,NEWRES_HLTH_W140,NEWRES_WRK_W140,NEWRES_FMLY_W140,NEWRES_HBS_W140,NEWRES_FIN_W140,NEWRES_SE_W140,RESKEPT_M_W140,RESKEPT_S_W140,RESLNONE_W140,IMPEACHFOLL_JB_W140,IMPEACHAPP_JB_W140,IMPEACHREM_JB_W140,WRKRCMPMOD_W140,SOCSEC_CPS_W140,ASREP_ABORT_W140,ASREP_AGREE_a_W140,ASREP_AGREE_b_W140,ASREP_AGREE_c_W140,ASREP_AGREE_d_W140,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W140
108035,2024-01-17T16:53:14Z,2024-01-17T17:08:36Z,2,1,2,,2,2,1,2,,,,,,4,4,4,4,4,2,,,,,,,,,,2,4,4,3,1,2,3,1,2,2,2,,,,,,1,4,1,3,1,,,,,,4,1,1,1,1,,2,4,2,1,4,1,2,1,2,,2,3,3,2,3,3,1,1,2,1,,,,,,1,1,2,4,1,,1,3,,1,2,2,2,2,1,1,,,,,,2,2,1,2,3,,,,,,,,,1,3,1,1,2,1,3,5,3,2,1,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,0.6388673447162669
108348,2024-01-19T19:48:44Z,2024-01-19T20:10:53Z,1,1,1,2,,2,1,2,4,4,4,4,4,,,,,,1,1,2,1,2,1,1,1,1,2,,,,,,,,,,1,2,1,2,2,1,1,,,,,,3,2,3,1,1,,,,,,1,,3,,,,,,,,1,,3,4,2,2,3,1,2,2,1,3,4,4,3,4,,,,,,4,,3,4,,2,2,1,3,1,1,1,3,2,1,2,,,,,3,,,,,,,,,1,3,1,1,2,2,3,5,3,1,1,1,4,8,1,3,2,2,3,99,,1,1,1,1,6,1,1,1,2,3,1,1,1,1,3,2,1,2,2,0.8585881768418548
109299,2024-01-20T12:10:29Z,2024-01-20T12:30:21Z,1,1,2,,2,2,1,2,,,,,,4,4,4,4,4,1,,,,,,,,,,2,4,3,3,2,4,3,2,2,1,2,,,,,,1,4,4,4,1,,,,,,3,1,1,1,4,,2,4,2,1,1,2,2,1,3,,2,1,3,3,3,3,3,2,4,99,,,,,,1,1,4,4,4,,2,3,,1,2,1,1,1,1,1,,,,,,3,2,1,2,3,,,,,,,,,5,3,1,1,2,1,2,5,3,1,1,1,4,9,2,4,1,2,4,1,1,1,5,3,1,1,11,2,4,5,4,1,1,2,1,7,3,3,2,2,0.21056541411420043
110129,2024-01-18T17:10:38Z,2024-01-18T17:38:42Z,2,1,1,2,,2,1,2,3,4,3,3,3,,,,,,1,1,2,1,2,1,2,2,1,2,,,,,,,,,,1,2,1,1,2,2,1,,,,,,1,2,1,1,1,,,,,,1,,4,,,,,,,,1,,2,2,2,2,2,1,2,2,2,1,2,3,2,3,,,,,,2,,2,4,,1,1,2,1,1,1,4,4,3,1,4,,,,,3,,,,,,,,,1,4,2,3,2,1,3,5,5,2,5,1,2,4,2,4,2,1,5,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,4,2,2,1,2,1.4596343286444309
111927,2024-01-17T20:48:51Z,2024-01-17T21:13:55Z,2,1,1,2,,2,2,2,4,4,3,4,4,,,,,,1,2,2,1,2,2,2,2,2,2,,,,,,,,,,1,1,1,1,1,2,1,,,,,,2,1,1,1,1,,,,,,1,,4,,,,,,,,2,,2,3,3,3,1,1,2,4,2,4,4,2,2,4,,,,,,3,,2,4,,3,3,3,3,1,1,1,1,3,1,3,,,,,3,,,,,,,,,2,3,1,2,2,1,3,3,3,3,3,1,2,3,3,4,2,3,2,2,,1,1,1,1,3,12,,3,4,4,99,9,9,1,1,2,2,2,1,0.9868686363710104
112238,2024-01-18T14:09:54Z,2024-01-18T14:24:20Z,3,1,2,,1,2,1,2,,,,,,4,3,3,3,2,1,,,,,,,,,,2,2,2,2,2,2,3,1,2,1,2,,,,,,1,2,1,2,1,,,,,,2,1,2,1,1,,2,3,1,1,3,1,1,1,2,,1,2,2,2,2,2,1,2,2,2,,,,,,1,2,3,3,4,,3,1,,1,1,1,1,1,1,1,,,,,,1,2,1,3,3,,,,,,,,,1,3,1,2,2,1,3,5,4,3,2,1,4,8,2,4,2,3,2,2,,1,1,1,1,2,12,,3,5,1,,1,2,1,3,3,2,2,2,0.940551561713318
112371,2024-01-17T19:21:49Z,2024-01-17T19:46:03Z,2,1,1,2,,2,1,2,4,4,3,4,4,,,,,,1,2,2,2,2,1,2,2,2,2,,,,,,,,,,1,2,2,1,2,3,1,,,,,,2,2,3,2,1,,,,,,1,,4,,,,,,,,1,,2,2,2,99,3,1,2,4,4,4,1,4,2,1,,,,,,1,,3,4,,99,99,3,3,99,1,1,1,3,1,3,,,,,3,,,,,,,,,3,4,2,2,2,2,2,5,4,2,1,1,1,2,2,3,2,2,3,1,3,1,1,3,1,1,2,2,2,5,3,1,1,1,1,99,2,2,2,99,1.1602953638752254
112613,2024-01-20T15:53:06Z,2024-01-20T16:05:06Z,1,1,2,,2,2,1,2,,,,,,4,4,4,4,4,1,,,,,,,,,,2,3,2,2,2,3,2,1,3,1,2,,,,,,1,3,1,3,1,,,,,,3,1,3,1,1,,2,4,2,1,3,1,2,1,2,,1,2,4,99,99,2,99,1,3,2,,,,,,1,4,3,4,2,,3,1,,1,1,1,2,1,1,1,,,,,,1,1,1,2,3,,,,,,,,,1,1,1,2,2,1,2,5,5,1,2,1,3,5,1,4,2,1,6,2,,1,1,1,1,6,1,2,1,4,1,,1,2,1,8,3,3,2,3,0.9611144017127596
113412,2024-01-18T19:03:37Z,2024-01-18T19:23:11Z,1,1,1,2,,2,1,2,4,4,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,1,1,1,1,1,,,,,,2,2,2,2,1,,,,,,1,,4,,,,,,,,2,,1,1,1,1,3,2,2,2,1,4,2,1,4,1,,,,,,3,,1,4,,1,1,1,3,1,1,1,1,3,1,3,,,,,3,,,,,,,,,5,1,1,1,2,1,2,5,5,1,1,1,3,7,2,4,2,2,3,2,,1,1,1,1,1,12,,3,6,1,,1,1,1,3,1,1,2,2,1.504964892974919
114473,2024-01-18T05:49:58Z,2024-01-18T06:20:30Z,2,1,2,,2,2,1,2,,,,,,4,4,4,4,2,2,,,,,,,,,,2,4,3,3,2,4,2,2,3,2,2,,,,,,1,2,2,1,1,,,,,,2,1,2,1,2,,1,3,2,1,2,1,3,2,1,,1,2,4,2,2,3,1,2,2,1,,,,,,1,2,3,2,2,,2,3,,1,1,1,2,1,1,3,,,,,,1,1,4,1,3,,,,,,,,,3,4,2,2,2,1,3,5,5,1,1,1,1,2,2,4,2,1,6,2,,1,4,4,1,6,1,1,1,1,1,,1,1,1,1,2,2,1,1,1.1608806014442663
115546,2024-01-17T16:32:16Z,2024-01-17T18:46:19Z,2,1,2,,1,1,1,1,,,,,,2,3,2,2,1,1,,,,,,,,,,3,3,2,2,1,2,2,1,2,1,2,,,,,,1,2,3,1,3,,,,,,3,1,2,3,2,,1,2,3,2,3,1,1,2,3,,2,1,3,3,1,3,3,2,3,2,,,,,,1,2,2,1,4,,2,3,,3,1,1,1,2,2,3,,,,,,1,1,3,1,3,,,,,,,,,1,2,4,4,2,2,2,5,5,2,1,2,2,4,3,3,1,1,5,2,,1,1,1,1,1,10,,3,6,3,2,2,3,1,9,3,1,2,3,1.2145404824003567
116422,2024-01-17T18:28:53Z,2024-01-17T18:44:37Z,2,1,2,,1,99,,3,,,,,,3,3,3,99,2,1,,,,,,,,,,3,99,2,3,1,1,2,99,4,1,99,,,,,,2,3,3,1,2,,,,,,2,2,2,3,1,,1,2,3,1,3,2,2,1,2,,1,1,1,3,1,3,3,2,3,2,,,,,,99,2,1,2,3,,4,4,,2,1,1,1,2,99,3,,,,,,4,4,3,4,3,,,,,,,,,1,3,3,3,2,1,1,5,5,2,3,1,2,4,3,4,2,3,2,2,,1,1,1,1,5,12,,3,5,3,99,9,9,1,7,3,2,2,2,1.1603047362263914
116998,2024-01-19T08:02:15Z,2024-01-19T09:22:51Z,2,1,2,,1,2,2,2,,,,,,2,3,99,2,1,2,,,,,,,,,,2,2,2,2,2,3,99,2,3,1,2,,,,,,1,2,2,1,1,,,,,,1,2,2,1,1,,1,3,3,1,2,1,2,1,2,,1,2,3,3,3,3,3,2,2,2,,,,,,1,2,1,1,1,,99,2,,4,1,1,1,2,2,3,,,,,,1,2,3,1,3,,,,,,,,,1,4,4,4,2,2,2,5,3,99,3,1,2,3,2,3,2,1,6,2,,1,2,2,1,3,1,99,1,4,2,,2,4,1,99,4,2,2,99,1.1455694965952878
118110,2024-01-18T14:26:58Z,2024-01-18T14:48:50Z,1,1,2,,2,2,2,3,,,,,,4,3,4,4,3,1,,,,,,,,,,1,2,2,2,2,2,2,1,1,1,2,,,,,,1,3,2,1,1,,,,,,1,1,3,1,1,,1,2,2,1,1,1,1,1,1,,1,3,4,3,3,3,3,2,4,1,,,,,,1,2,1,2,2,,2,2,,1,3,3,3,3,1,1,,,,,,3,2,1,2,3,,,,,,,,,4,4,2,3,2,2,1,3,3,3,2,1,2,3,1,3,2,3,2,2,,1,1,1,1,1,2,2,2,5,4,1,1,2,1,6,3,3,2,2,0.9576760977232178
118242,2024-01-20T12:52:42Z,2024-01-20T13:14:44Z,2,1,1,2,,2,1,2,4,4,4,4,99,,,,,,2,1,2,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,2,1,2,1,,,,,,1,2,2,1,1,,,,,,1,,3,,,,,,,,2,,2,3,3,1,1,3,2,3,1,2,2,3,4,4,,,,,,3,,1,3,,2,1,1,1,1,1,1,3,3,3,1,,,,,1,1,99,2,2,1,1,1,,,1,1,1,2,1,2,5,5,1,1,1,4,8,2,3,2,2,3,1,6,1,4,3,1,3,2,2,2,4,3,1,1,1,1,1,2,1,2,1,1.001368343625827
118414,2024-01-16T16:24:24Z,2024-01-16T16:38:39Z,2,1,1,2,,2,1,2,4,4,4,4,4,,,,,,1,1,2,2,2,1,2,2,1,2,,,,,,,,,,1,2,2,1,1,1,1,,,,,,2,2,3,2,1,,,,,,1,,2,,,,,,,,2,,3,2,2,2,3,1,2,3,1,3,4,4,2,1,,,,,,3,,1,4,,3,3,3,3,3,1,1,1,2,1,2,,,,,3,,,,,,,,,1,2,1,1,2,1,4,5,5,1,1,2,2,3,2,4,2,3,2,2,,1,1,1,1,1,1,2,1,5,1,,1,1,1,8,1,1,2,2,0.8545105163218045
119121,2024-01-18T06:34:17Z,2024-01-18T06:45:07Z,2,1,1,1,,1,1,1,1,2,1,1,1,,,,,,1,2,2,1,1,1,1,2,1,2,,,,,,,,,,2,1,2,2,1,1,1,,,,,,2,1,1,1,1,,,,,,1,,2,,,,,,,,1,,1,1,3,1,1,3,2,2,2,1,1,2,4,3,,,,,,4,,2,3,,1,2,1,1,2,3,2,1,1,2,1,,,,,3,,,,,,,,,4,3,4,4,2,1,1,5,3,1,1,1,3,6,1,4,2,2,3,2,,1,1,1,1,3,12,,3,5,2,,2,4,1,8,4,2,2,2,1.0544487514797878
119392,2024-01-21T13:55:13Z,2024-01-21T15:11:28Z,1,1,2,,1,2,1,2,,,,,,4,4,4,4,4,1,,,,,,,,,,3,3,3,3,3,3,3,3,4,1,2,,,,,,1,2,1,1,1,,,,,,1,1,2,1,1,,2,3,3,1,1,2,1,1,1,,1,2,4,2,2,2,1,1,2,2,,,,,,1,2,3,4,3,,3,2,,1,1,1,1,1,1,1,,,,,,4,4,1,4,3,,,,,,,,,1,4,2,2,2,1,3,3,3,3,3,2,2,3,2,3,1,3,2,2,,1,1,1,1,1,2,1,2,2,1,,1,2,1,1,3,1,2,1,0.9196425466245559
126211,2024-01-17T16:04:28Z,2024-01-17T17:11:37Z,2,1,1,2,,2,1,2,4,4,2,4,4,,,,,,1,1,2,2,2,1,2,2,2,2,,,,,,,,,,1,2,3,1,1,2,1,,,,,,2,2,2,2,1,,,,,,1,,3,,,,,,,,2,,2,2,3,2,2,1,2,3,2,4,1,2,1,1,,,,,,1,,1,4,,2,1,2,1,1,1,1,1,2,1,2,,,,,3,,,,,,,,,4,1,1,1,2,1,3,5,3,2,1,1,3,5,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,2,1,1.2800117380689036
126570,2024-01-18T18:03:57Z,2024-01-18T18:13:04Z,2,1,1,2,,2,2,2,4,4,4,4,4,,,,,,1,1,2,2,2,1,1,1,1,2,,,,,,,,,,1,2,1,1,1,2,1,,,,,,1,1,2,2,1,,,,,,1,,4,,,,,,,,1,,1,4,3,3,3,3,2,2,1,1,1,4,1,1,,,,,,1,,1,4,,3,3,3,3,1,1,1,1,2,2,2,,,,,3,,,,,,,,,4,1,1,1,2,2,4,5,5,1,1,2,2,4,3,4,2,3,2,2,,1,1,1,1,1,1,1,1,5,1,,1,1,1,2,2,4,2,2,0.8717069952737924
127160,2024-01-19T14:03:00Z,2024-01-19T15:13:57Z,2,1,1,2,,2,1,2,4,4,3,4,4,,,,,,1,1,1,1,2,1,2,2,2,2,,,,,,,,,,1,2,1,3,4,2,3,,,,,,3,1,2,1,2,,,,,,1,,4,,,,,,,,2,,2,4,3,3,3,1,2,4,1,4,4,1,1,2,,,,,,3,,5,4,,1,1,2,3,3,3,3,3,4,3,3,,,,,3,,,,,,,,,1,5,1,1,2,2,4,3,1,5,3,1,3,6,3,2,2,1,6,2,,4,4,4,3,1,12,,3,2,4,1,1,1,3,3,1,2,2,1,0.9090674553845578
