QKEY,INTERVIEW_START_W145,INTERVIEW_END_W145,DEVICE_TYPE_W145,LANG_W145,FORM_W145,ECON_SIT_W145,CHILDREN_BETTEROFF2_W145,SATISFIED_DEMOCRACY_W145,FAV_US_W145,FAV_CHINA_W145,FAV_EU_W145,FAV_UN_W145,FAV_NATO_W145,FAV_RUSSIA_W145,FAV_INDIA_W145,FAV_MEXICO_W145,FAV_BRAZIL_W145,FAV_UK_W145,FAV_GERMANY_W145,FAV_FRANCE_W145,PARTYFAV_REP_W145,PARTYFAV_DEM_W145,CONFID_XI_W145,CONFID_PUTIN_W145,CONFID_MACRON_W145,CONFID_ZELENSKYY_W145,CONFID_NETANYAHU_W145,PROB_RICH_POOR_W145,PROB_GEN_UNEQUAL_W145,PROB_RACEDISCRIM_W145,PROB_RELDISCRIM_W145,PROB_MISINFORMATION_W145,FREE_PRESS_W145,FREE_SPEECH_W145,FREE_INTERNET_W145,FREEDOM_PRESS_W145,FREEDOM_SAY_W145,FREEDOM_INTERNET_W145,INEQUALITY_MERIT_W145,INEQUALITY_OPP_W145,INEQUALITY_DISCRIM_W145,INEQUALITY_AUTOMATION_W145,INEQUALITY_EDU_W145,INEQUALITY_RICH_W145,ECONSYS_REFORM_W145,USDEMOCRACY_EXAMPLE_W145,PREZFP_W145,USRESPECT_IMPORT_W145,LRNGFP_a_W145,LRNGFP_b_W145,LRNGFP_c_W145,LRNGFP_d_W145,LRNGFP_e_W145,LRNGFP_f_W145,LRNGFP_g_W145,LRNGFP_h_W145,LRNGFP_i_W145,LRNGFP_j_W145,LRNGFP_k_W145,LRNGFP_l_W145,LRNGFP_m_W145,LRNGFP_n_W145,LRNGFP_o_W145,LRNGFP_p_W145,LRNGFP_q_W145,LRNGFP_r_W145,LRNGFP_s_W145,LRNGFP_t_W145,LRNGFP_u_W145,LRNGFP_v_W145,US_EURO_SEC_W145,US_EURO_ECON_W145,US_EURO_DEM_W145,GROWINFLU1_CHINA_W145,GROWINFLU1_RUSSIA_W145,GROWINFLU1_INDIA_W145,GROWINFLU1_GERMANY_W145,GROWINFLU1_FRANCE_W145,GROWINFLU1_UK_W145,GROWINFLU1_IRAN_W145,GROWINFLU1_BRAZIL_W145,GROWINFLU1_COUNTRY_W145,GROWINFLU2_NATO_W145,GROWINFLU2_EU_W145,GROWINFLU2_UN_W145,CHINA_US_ENEMY_W145,RUSSIA_US_ENEMY_W145,BRDERJOB_W145,BRDERJOB_MEX_W145,CHINA_INFLU_ECON_W145,CHINA_INFLU_ECON2_W145,CHINA_DISPUTES_W145,NATIONALITY_RELIG_W145,NATIONALITY_BORN_W145,NATIONALITY_LANG_W145,NATIONALITY_CUSTOM_W145,BENEFITORG_NATO_W145,BENEFITORG_UN_W145,BENEFITORG_WHO_W145,UNISGZ_AID_W145,UNISGZ_CEASEFIRE_W145,EU_DEF_SPEND_W145,UKR_SPRT_W145,UKR_NATSEC_W145,UA_CONC_b_W145,UA_CONC_d_W145,SSDO_PRIORITIES_W145,SSDO_PUSH_W145,SSDO_IDEAL_W145,SSDO_DOMINATE_W145,CLASS_W145,CLASS2_W145,NATO_REGION_W145,NATO_FOCUS_W145,NATO_KNOW_W145,NEWSSOCIETY_W145,NEWSCORP_W145,NEWSGOVT_W145,NEWSRESTRICT_W145,NEWSPROTECT_W145,BESTAGE_MARRY_W145,BESTAGE_CHILD_W145,BESTAGE_HOUSE_W145,BESTAGE_RETIRE_W145,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W145
116422,2024-04-02T15:46:56Z,2024-04-02T16:00:28Z,2,1,2,3,2,3,2,3,2,3,2,4,3,3,3,2,2,3,4,4,3,4,3,3,3,1,3,3,3,1,2,2,2,2,2,1,4,2,3,3,3,1,2,2,99,2,,,,,,,,,,,,2,2,2,2,2,3,2,2,2,2,3,2,1,2,3,3,1,2,3,3,3,99,2,3,3,3,2,3,3,3,3,99,2,4,3,2,4,3,3,3,5,4,4,3,3,3,4,2,2,2,4,4,,4,4,5,2,1,2,4,2,96,96,96,96,1,2,4,3,4,2,3,2,2,,1,1,1,1,5,12,,3,5,3,99,9,9,1,7,3,2,2,2,1.3175990178614159
116591,2024-04-02T17:17:12Z,2024-04-02T17:50:21Z,2,1,1,2,1,3,3,2,2,2,3,4,3,4,3,2,3,3,2,3,5,5,5,5,5,1,2,99,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1,2,1,2,2,2,2,2,3,2,2,1,3,1,2,,,,,,,,,,,,2,2,2,2,2,1,3,2,3,1,2,1,3,3,3,99,3,2,3,3,2,4,4,1,1,1,3,2,1,5,5,3,1,3,4,3,2,2,3,1,2,,5,5,5,3,2,1,3,2,25,25,30,68,1,3,5,2,4,2,2,3,2,,1,1,1,1,1,12,,3,6,3,1,1,2,1,2,3,2,2,1,1.1389390513588535
118110,2024-04-03T09:32:19Z,2024-04-03T09:55:00Z,1,1,1,3,2,3,3,4,3,3,4,4,4,4,99,3,3,3,3,4,4,4,3,3,4,1,2,2,2,3,2,2,3,3,4,4,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,3,2,1,1,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,2,5,1,3,1,1,3,3,3,4,4,1,3,1,1,1,2,2,2,2,4,,5,5,5,3,1,1,4,2,20,23,25,62,1,2,3,1,3,2,3,2,2,,1,1,1,1,1,2,2,2,5,4,1,1,2,1,6,3,3,2,2,1.144413916424037
119548,2024-04-02T18:17:32Z,2024-04-02T18:41:00Z,1,1,2,4,2,4,2,4,99,3,2,4,2,3,2,2,2,2,2,4,4,4,3,3,2,2,3,3,2,1,1,1,1,2,1,2,2,3,3,4,2,2,3,1,1,2,,,,,,,,,,,,2,2,1,1,1,3,2,1,1,2,1,1,2,2,1,3,3,3,2,3,1,3,2,3,3,2,3,3,4,4,3,2,5,1,2,1,2,2,3,3,3,3,1,3,2,2,2,2,3,2,4,3,2,4,4,2,1,2,1,5,2,96,25,96,65,1,1,1,3,4,2,3,2,2,,1,1,1,1,99,1,1,1,2,3,1,1,1,1,1,2,2,1,1,1.4524067289223772
120343,2024-04-02T15:27:33Z,2024-04-02T15:38:03Z,1,1,2,3,2,3,1,4,2,3,1,99,2,2,2,1,1,1,2,4,3,4,2,3,1,3,3,2,3,2,1,1,1,2,2,2,3,3,3,3,2,2,3,2,1,1,,,,,,,,,,,,2,2,2,1,1,3,2,1,1,2,2,1,1,1,1,1,3,3,3,3,1,3,2,2,2,2,3,3,4,4,2,2,2,4,3,1,1,2,3,4,3,3,1,2,1,2,3,2,3,1,4,1,,4,4,4,1,1,1,1,1,25,28,96,96,1,4,8,2,4,2,2,3,2,,1,1,1,1,1,12,,3,6,1,,1,1,1,9,2,1,2,3,0.9731004863677477
121582,2024-04-05T12:26:05Z,2024-04-05T12:51:11Z,2,1,1,4,2,4,2,4,4,4,4,2,2,4,3,3,3,3,3,4,3,3,2,4,2,2,4,4,3,1,1,2,1,3,3,2,3,2,1,1,1,2,3,2,1,1,1,3,2,3,2,3,1,3,3,1,2,,,,,,,,,,,,2,1,2,1,3,1,2,2,3,1,1,2,2,3,1,2,2,4,4,1,2,2,2,1,1,1,3,3,4,5,4,1,1,2,4,3,2,2,3,2,2,,4,4,4,1,1,1,1,1,96,96,96,96,1,3,5,2,4,2,1,6,2,,1,4,4,1,5,1,1,1,2,1,,1,1,1,9,1,3,2,3,1.3634048061536979
121882,2024-04-02T17:37:10Z,2024-04-02T18:04:38Z,1,1,1,4,2,4,2,4,2,3,4,2,2,3,3,2,2,3,3,4,3,2,3,4,3,2,4,3,3,1,1,1,1,2,4,4,1,4,4,3,2,1,3,2,99,1,2,3,99,3,3,2,2,3,2,2,2,,,,,,,,,,,,1,1,2,1,3,3,1,2,2,1,3,2,2,2,3,3,2,4,4,1,2,2,2,3,1,1,3,3,4,3,3,3,1,2,5,5,3,1,2,4,2,,4,4,4,1,3,1,2,1,23,25,30,67,1,4,9,2,4,1,1,5,2,,1,1,1,1,1,12,,3,2,3,99,9,9,1,7,1,2,1,2,1.3416164956625625
124997,2024-04-04T11:21:30Z,2024-04-06T14:48:45Z,2,1,2,2,2,2,2,3,2,1,1,4,3,3,4,2,2,2,3,2,2,4,2,1,3,1,1,1,3,1,1,2,2,1,2,1,3,1,2,3,1,1,2,99,1,1,,,,,,,,,,,,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,3,3,3,3,3,3,2,1,99,3,2,3,3,3,2,99,2,4,2,1,4,1,2,1,3,3,4,2,1,2,2,1,4,1,4,3,1,4,4,4,1,2,3,2,1,96,96,96,96,1,1,2,2,4,2,2,3,2,,1,1,1,1,1,1,2,1,4,3,2,2,3,1,99,3,2,2,99,1.4268018685451989
128558,2024-04-03T12:41:24Z,2024-04-03T12:58:05Z,1,1,1,4,2,3,1,4,2,2,2,4,3,4,2,2,2,2,2,4,4,4,2,2,3,2,2,2,2,1,4,2,3,1,2,1,1,3,3,2,3,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,2,,,,,,,,,,,,2,1,2,1,1,3,3,3,3,1,3,3,1,1,3,3,3,4,4,2,2,2,2,1,1,1,1,1,2,3,4,1,4,2,2,3,3,3,2,4,3,3,4,5,4,4,1,1,5,2,21,25,21,65,1,3,5,3,4,2,3,2,2,,1,1,1,1,1,1,2,1,5,1,,1,1,1,6,2,3,2,2,1.0346372436354014
132246,2024-04-02T16:12:16Z,2024-04-02T16:29:25Z,1,1,1,4,2,4,3,4,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,2,1,2,1,1,1,1,1,1,3,4,3,1,2,4,3,1,1,2,2,1,1,2,3,1,3,1,1,2,3,2,1,3,,,,,,,,,,,,2,2,2,1,1,1,2,2,2,1,3,2,3,2,1,3,2,4,4,1,2,2,3,3,1,1,3,4,4,4,4,1,1,2,5,3,4,1,4,4,3,3,4,4,3,1,1,1,1,1,96,96,96,96,1,3,5,2,4,1,2,3,2,,1,99,99,1,1,1,1,1,4,4,1,1,1,1,9,2,2,2,2,0.8553423472236942
134129,2024-04-02T16:10:35Z,2024-04-02T17:30:28Z,2,1,1,4,2,4,4,2,2,1,2,4,3,3,2,1,1,2,4,4,3,4,3,3,3,2,3,1,4,1,1,1,1,2,2,2,1,1,1,3,1,1,1,2,2,1,1,1,2,2,3,2,3,2,3,2,3,,,,,,,,,,,,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2,99,5,4,3,2,2,2,2,2,5,5,4,4,99,1,1,1,4,1,4,4,,4,5,5,1,1,1,5,99,97,97,96,96,1,3,7,2,3,2,2,4,2,,1,1,1,1,5,12,,3,6,4,99,9,9,1,4,99,1,2,2,1.7427916763351787
136411,2024-04-02T22:32:14Z,2024-04-02T22:43:50Z,1,1,1,3,2,3,2,3,4,4,3,2,3,3,2,3,2,3,3,4,3,1,99,4,2,2,4,1,1,1,4,1,1,4,1,1,2,2,4,4,4,1,4,2,1,4,3,3,1,3,3,2,1,3,3,3,3,,,,,,,,,,,,4,4,4,3,1,3,3,2,2,2,3,3,2,2,2,2,1,4,4,4,,4,1,1,1,2,4,4,4,4,4,1,1,2,5,5,4,1,2,4,2,,4,1,4,1,1,1,2,1,21,96,96,96,1,3,5,2,3,1,1,5,2,,1,99,99,1,5,1,2,1,6,3,1,1,2,3,1,3,2,2,2,1.2245140170135347
139905,2024-04-04T11:41:05Z,2024-04-04T11:58:01Z,2,1,1,2,2,3,2,3,2,2,2,4,99,3,3,2,2,2,4,2,3,4,2,1,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,1,1,1,1,1,1,3,3,3,3,3,2,1,1,3,2,3,3,5,2,2,2,4,2,3,2,1,2,1,2,3,4,3,1,2,1,1,4,1,4,3,3,4,4,5,5,2,1,2,2,96,96,96,96,1,1,1,2,4,2,1,6,2,,1,1,1,1,5,1,2,1,4,2,,2,4,1,5,4,,1,2,1.6456903909179377
143915,2024-04-02T16:23:05Z,2024-04-02T16:48:43Z,1,1,1,2,2,3,3,4,2,2,2,4,99,2,99,3,2,2,2,4,3,4,2,3,3,1,3,2,1,2,2,2,2,2,2,2,1,2,3,4,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,,,,,,,,,,,,1,1,1,1,1,1,3,3,1,2,99,2,3,3,1,2,3,4,3,1,2,2,1,3,1,1,2,2,1,3,3,4,4,1,4,3,2,3,1,4,3,3,4,1,5,3,2,2,5,2,96,96,96,96,2,1,2,1,4,1,3,2,2,,1,1,1,1,5,1,1,1,2,1,,1,1,1,1,1,3,2,1,0.9591812366046998
144429,2024-04-02T23:56:00Z,2024-04-03T00:12:00Z,1,1,1,3,2,4,2,4,3,4,2,4,3,3,3,2,2,2,2,4,4,4,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,3,3,1,2,3,2,1,1,1,3,2,1,2,1,2,3,2,1,2,,,,,,,,,,,,1,1,1,1,1,3,3,3,2,1,3,2,1,2,3,3,3,4,4,2,2,2,4,3,1,1,2,4,4,3,4,1,2,1,2,2,1,3,3,4,3,3,4,4,4,1,1,1,3,1,96,96,96,96,1,2,3,2,4,2,1,5,2,,1,1,1,1,1,10,,3,6,1,,1,1,1,2,2,2,2,1,1.1848338676483576
146784,2024-04-03T16:03:17Z,2024-04-03T16:14:53Z,2,1,2,4,2,4,1,4,3,4,4,3,2,3,3,3,3,3,2,4,4,4,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,3,3,2,1,2,3,3,1,2,,,,,,,,,,,,2,2,2,1,1,2,2,3,2,2,2,2,2,2,1,3,3,3,2,2,1,3,2,1,3,1,3,3,4,4,1,2,1,2,2,2,1,3,4,4,4,4,1,1,2,2,2,1,1,1,4,5,,4,3,4,1,2,1,1,1,18,19,96,96,2,4,9,2,3,1,2,3,1,97,1,4,3,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0.1343534532432097
153346,2024-04-02T16:39:15Z,2024-04-02T16:58:58Z,2,1,2,3,2,3,1,4,4,4,3,4,4,4,4,3,3,4,2,4,4,4,4,4,2,3,4,3,2,1,1,1,1,2,2,2,4,4,4,2,1,2,4,2,1,1,,,,,,,,,,,,2,2,1,1,1,2,1,2,1,3,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,3,3,4,4,1,2,1,2,2,1,1,2,3,4,4,4,1,1,2,3,2,4,1,4,4,3,1,4,4,4,1,1,1,1,1,25,30,96,96,1,4,8,1,4,1,1,6,2,,1,2,2,1,1,1,1,1,2,1,,1,1,1,8,2,1,1,2,0.09464768193385625
154730,2024-04-02T17:37:57Z,2024-04-02T18:00:50Z,2,1,2,4,2,3,1,4,2,4,2,4,2,3,2,2,2,2,1,4,4,4,3,2,1,3,3,3,3,2,1,1,1,2,2,2,1,3,3,3,1,2,2,2,1,1,,,,,,,,,,,,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,3,3,3,3,1,2,2,1,3,3,3,3,4,4,2,2,2,2,3,1,2,1,3,4,4,4,1,3,1,2,3,2,2,2,4,3,1,4,4,4,1,1,1,2,1,96,25,96,65,1,3,5,2,4,1,1,6,2,,1,2,2,1,3,1,2,1,3,1,,1,1,1,9,2,4,2,3,0.11110976306816944
154750,2024-04-04T19:53:17Z,2024-04-04T21:11:35Z,1,1,2,3,2,3,1,4,2,4,3,4,3,4,4,2,2,2,2,3,4,4,2,2,1,1,3,2,2,1,1,1,2,1,3,1,3,3,2,2,1,1,2,2,1,2,,,,,,,,,,,,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,3,3,3,3,3,1,3,2,3,2,2,3,3,4,4,2,2,1,2,1,1,2,2,3,3,4,4,1,3,3,3,3,1,3,2,4,5,,4,4,5,3,1,1,3,2,96,96,96,96,1,2,3,2,4,2,1,5,2,,1,1,1,1,5,1,1,1,1,1,,1,1,1,1,2,4,2,1,1.2391607143956747
155464,2024-04-02T15:58:28Z,2024-04-02T16:14:33Z,3,1,2,1,2,3,2,2,2,1,1,3,3,2,1,2,2,2,4,1,3,4,2,2,3,1,2,1,2,1,1,2,3,1,2,2,2,1,1,3,1,1,2,2,1,1,,,,,,,,,,,,2,1,2,1,3,1,2,1,3,2,2,2,2,2,1,3,3,3,3,3,3,3,2,2,3,3,2,3,2,5,1,2,2,4,4,2,3,1,2,1,5,3,3,3,2,2,1,1,4,1,4,5,,5,3,4,2,2,1,4,2,97,25,96,96,1,4,9,1,3,2,3,2,2,,1,1,1,1,3,10,,3,6,2,,2,4,1,1,4,,2,1,2.4971817584002443
