QKEY,INTERVIEW_START_W139,INTERVIEW_END_W139,DEVICE_TYPE_W139,LANG_W139,FORM_W139,XPARTYSUMFINAL_W139,XREG_W139,SATIS_W139,POL1JB_W139,POL1JBSTR_W139,INSTFAV_a_W139,INSTFAV_b_W139,INSTFAV_c_W139,INSTFAV_FED_W139,INSTFAV_STAT_W139,INSTFAV_LOC_W139,JBCONF_ECON_W139,JBCONF_CRIS_W139,JBCONF_IMMI_W139,JBCONF_CONG_W139,JBCONF_CLSR_W139,ISGZ_BDN_W139,REPFIELD_W139,REPNOMOE_CODED_W139,PRICANDSAT_R_DT_W139,PRICANDSAT_R_RDS_W139,PRICANDSAT_R_CC_W139,PRICANDSAT_R_VR_W139,PRICANDSAT_R_NH_W139,REPDEALFGHT_W139,PRMRYSYT_W139,REPPRI_FCS_W139,REPPRIMINT_W139,REPPRIMCOMP_W139,UKRFOL_W139,JB_RUSUKR_APP_W139,UKR_SPRT_W139,RU_UKN_THRT2_W139,PARTYTRAITH2H_FED_W139,PARTYTRAITH2H_WORK_W139,PARTYTRAITH2H_PLM_W139,PARTYTRAITH2H_SEL_W139,PARTYTRAITH2H_HON_W139,PARTYTRAITH2H_UNI_W139,PARTYTRAITH2H_LEAD_W139,PARTYTRAITH2H_MID_W139,ISGZ_FOL_W139,ISGZ_RESPNSBL_ISRGOV_W139,ISGZ_RESPNSBL_HMS_W139,ISGZ_RESPNSBL_ISRPPL_W139,ISGZ_RESPNSBL_PLS_W139,ISGZ_RESPNS_W139,BIDEN_FAVORISRPAL_W139,ISGZ_CONC_BIG_W139,ISGZ_CONC_TERR_W139,ISGZ_CONC_RSLV_W139,ISGZ_CONC_VLC_JW_W139,ISGZ_CONC_VLC_MSLM_W139,COEX_W139,COLGJOB_W139,COLGIMP_W139,EDUCJOB_W139,DEGRCOST_W139,NDEGRJOB_W139,DTREPPTY_W139,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W139
114671,2023-11-28T16:11:41Z,2023-11-28T16:19:36Z,2,1,1,1,2,2,2,1,2,4,2,,,,4,4,4,4,4,3,2,8,,,,,,2,2,2,2,2,1,4,1,3,1,1,1,1,,,,,1,3,1,3,1,,2,3,1,5,1,5,2,5,2,2,3,2,1,2,4,8,3,4,1,1,6,2,,1,1,1,1,1,1,2,1,5,3,1,1,1,3,9,2,2,2,3,1.2143840947264886
115295,2023-11-29T13:36:47Z,2023-11-29T13:59:58Z,1,1,2,1,1,2,2,1,,,,4,4,4,4,4,4,4,4,4,2,3,2,1,4,3,4,1,2,2,2,2,3,4,1,3,,,,,3,3,3,3,2,2,1,2,1,2,,2,2,3,2,5,2,2,1,3,3,3,2,1,4,9,2,4,1,2,4,2,,1,4,4,1,6,1,1,1,2,3,1,1,1,1,5,2,2,2,2,1.3337483368892737
116591,2023-11-30T11:20:05Z,2023-11-30T11:32:13Z,1,1,2,1,1,2,2,1,,,,3,1,1,3,3,3,3,3,3,3,95,2,5,5,5,5,2,2,2,2,2,4,3,3,2,,,,,1,1,1,1,4,5,5,5,5,4,,3,3,2,3,3,2,2,1,4,2,3,3,1,3,5,2,4,2,2,3,2,,1,1,1,1,1,12,,3,6,3,1,1,2,1,2,3,2,2,1,0.9821607415578927
118060,2023-11-29T06:57:18Z,2023-11-29T07:06:06Z,1,1,1,1,1,2,99,,2,4,2,,,,4,4,4,4,4,4,3,8,2,2,2,3,3,2,2,1,1,1,3,3,2,1,1,3,1,1,,,,,2,2,1,5,5,,3,3,3,2,1,1,2,1,1,1,1,3,4,1,3,5,3,3,2,1,5,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,3,2,3,2,2,0.8891224329906011
118110,2023-11-29T09:51:56Z,2023-11-29T10:04:04Z,1,1,2,1,1,2,2,2,,,,3,3,3,4,3,4,3,3,2,3,8,2,4,2,5,4,1,2,2,1,2,4,3,4,1,,,,,3,3,3,3,4,2,2,2,2,4,,1,1,3,3,3,1,3,1,3,2,3,5,1,2,3,1,3,2,3,2,2,,1,1,1,1,1,2,2,2,5,4,1,1,2,1,6,3,3,2,2,0.8647518912748815
118242,2023-11-30T11:14:47Z,2023-11-30T11:24:38Z,2,1,2,1,1,2,2,1,,,,3,3,2,4,4,4,3,4,2,2,8,1,4,4,4,4,2,2,2,1,2,2,5,2,1,,,,,1,1,3,1,2,3,1,3,2,2,,1,1,2,1,1,2,3,1,2,2,3,1,1,4,8,2,3,2,2,3,1,6,1,4,3,1,3,2,2,2,4,3,1,1,1,1,1,2,1,2,1,0.20767977079914673
118888,2023-11-30T00:28:23Z,2023-11-30T00:37:08Z,2,1,2,2,1,99,1,1,,,,2,2,2,1,1,1,1,1,1,3,,,,,,,,,2,2,2,3,1,3,1,,,,,2,2,2,2,3,2,1,1,1,3,,2,4,2,3,2,2,2,1,3,1,3,,1,4,8,1,4,2,1,5,2,,1,1,1,1,5,3,2,4,5,2,,2,4,1,2,4,2,1,2,0.8554062169264159
127160,2023-12-02T13:12:10Z,2023-12-02T13:21:14Z,2,1,1,1,2,2,2,1,4,4,4,,,,4,4,4,2,4,4,3,97,,,,,,1,3,2,2,2,4,4,1,3,3,3,3,3,,,,,4,1,5,1,5,,1,5,5,5,5,5,2,3,1,3,2,3,3,1,3,6,3,2,2,1,6,2,,4,4,4,3,1,12,,3,2,4,1,1,1,3,3,1,2,2,1,0.928769336867556
129046,2023-11-28T18:21:41Z,2023-11-28T18:27:44Z,1,1,2,1,1,2,2,1,,,,4,3,3,3,3,4,3,4,2,3,3,3,2,3,3,2,2,3,1,1,2,1,2,3,2,,,,,3,3,3,1,1,3,1,3,2,3,,3,3,4,2,4,2,4,2,3,2,3,2,1,4,8,2,4,1,1,5,2,,1,1,1,1,1,1,2,1,5,1,,1,1,1,6,2,2,2,2,0.9987084109144095
130571,2023-11-29T22:30:38Z,2023-11-29T22:43:55Z,2,1,1,1,1,2,2,1,3,4,4,,,,4,4,4,4,4,4,4,8,1,4,4,3,4,2,4,2,2,2,1,4,1,3,1,1,1,1,,,,,1,3,1,3,1,,2,4,1,3,1,5,2,4,3,4,2,2,1,1,4,8,2,4,2,2,4,1,1,1,1,3,1,1,10,,3,6,3,1,1,1,1,8,1,2,1,2,0.12263834711900908
133435,2023-11-28T16:30:36Z,2023-11-28T16:46:06Z,3,1,1,9,1,2,99,,99,99,99,,,,3,4,3,3,3,2,99,95,5,5,5,5,5,99,99,99,99,99,3,5,4,4,3,3,3,3,,,,,3,5,5,5,5,,4,3,3,3,3,3,1,4,2,2,99,2,3,1,1,1,2,4,2,99,99,2,,1,1,1,1,5,2,99,2,2,3,99,9,9,1,2,1,4,1,2,1.282763501734528
133700,2023-11-28T16:32:49Z,2023-11-28T16:40:13Z,2,1,1,2,1,2,2,1,3,4,3,,,,4,4,4,4,4,3,3,,,,,,,,,1,1,2,3,3,3,1,3,3,3,3,,,,,3,3,1,3,3,,3,1,1,1,1,3,1,4,2,3,3,2,,1,1,2,2,4,2,3,2,2,,1,1,1,1,1,2,2,2,2,2,,2,3,1,2,3,2,2,1,1.0039538617087906
139467,2023-11-29T09:51:07Z,2023-11-29T10:02:41Z,1,1,1,9,1,2,2,2,3,3,3,,,,3,3,4,3,3,5,3,98,2,2,2,3,3,1,4,2,2,1,3,2,4,2,3,3,1,3,,,,,3,2,1,3,2,,4,3,4,2,3,3,2,4,2,3,2,2,2,1,2,4,3,4,2,2,4,2,,1,1,1,1,5,2,2,2,2,3,99,9,9,1,2,2,2,1,2,1.2407397982131019
141442,2023-11-29T08:50:18Z,2023-11-29T09:04:01Z,1,1,2,1,1,2,2,1,,,,4,3,2,4,4,4,4,4,2,2,4,1,1,3,2,1,2,2,2,2,2,3,3,1,3,,,,,1,3,3,1,3,3,1,3,1,3,,3,3,4,3,4,1,4,3,3,3,3,2,1,3,5,2,4,1,1,5,2,,1,1,1,1,1,1,2,1,5,1,,1,1,1,9,2,2,2,2,0.8751663312191345
141471,2023-11-28T21:20:07Z,2023-11-28T21:31:35Z,2,1,2,1,1,2,2,1,,,,3,4,2,4,4,4,4,4,4,4,99,4,2,3,5,5,2,2,2,1,1,3,3,2,2,,,,,3,3,3,1,3,1,1,2,2,2,,2,1,1,1,2,1,3,2,1,3,1,4,1,1,2,2,3,2,2,4,2,,2,1,1,4,1,2,2,2,4,1,,1,1,1,9,2,2,1,3,1.8049224230010048
143915,2023-11-28T18:08:32Z,2023-11-28T18:22:20Z,1,1,2,1,1,2,2,1,,,,3,4,3,4,4,4,4,4,5,1,8,1,3,2,3,2,1,2,2,1,2,4,5,4,4,,,,,1,1,1,3,4,2,1,5,5,3,,4,4,4,3,3,1,4,2,2,2,2,3,2,1,2,1,4,1,3,2,2,,1,1,1,1,5,1,1,1,2,1,,1,1,1,1,1,3,2,1,1.081722362151798
145364,2023-11-29T07:12:58Z,2023-11-29T07:18:03Z,1,1,2,1,1,2,2,1,,,,3,3,2,4,3,4,3,3,2,3,8,1,3,3,3,2,1,2,1,1,2,2,2,3,2,,,,,3,3,3,3,2,2,1,3,2,3,,4,4,4,3,4,1,3,2,3,2,3,2,1,1,2,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,3,1,,1,1,1,9,2,2,2,3,1.2733184634980712
146434,2023-11-28T16:23:21Z,2023-11-28T16:32:11Z,1,1,1,1,1,2,2,1,2,3,3,,,,4,4,4,3,4,2,3,8,1,3,4,3,4,1,1,2,2,2,4,5,1,4,1,1,1,1,,,,,4,5,1,5,5,,4,5,2,2,2,2,2,5,2,5,3,4,1,2,3,7,3,4,2,3,1,2,,1,1,1,1,1,2,1,2,5,1,,1,1,1,5,2,2,2,2,1.1065119086764037
146784,2023-11-28T16:05:08Z,2023-11-28T16:10:46Z,2,1,1,1,1,2,2,1,3,4,4,,,,4,4,4,4,4,4,3,8,2,4,4,2,3,2,3,2,2,2,2,4,1,2,3,3,3,3,,,,,2,3,1,3,1,,2,1,1,1,1,3,2,5,3,4,3,3,1,2,4,9,2,3,1,2,3,1,97,1,4,3,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0.19499595748384096
149866,2023-11-29T10:17:03Z,2023-11-29T10:25:16Z,2,1,1,1,1,2,2,1,2,4,3,,,,4,4,4,4,4,4,2,8,1,2,4,4,1,1,3,1,2,2,2,3,1,1,3,3,3,3,,,,,3,5,5,5,5,,4,2,1,2,1,1,2,2,1,4,3,3,2,2,1,1,3,4,2,3,2,2,,99,1,1,99,2,2,99,2,6,1,,1,1,1,1,2,1,2,2,1.2864310470356077
152324,2023-11-30T11:12:53Z,2023-11-30T11:23:30Z,2,1,1,2,1,2,1,2,4,3,3,,,,2,3,2,3,3,2,4,,,,,,,,,2,1,2,3,2,3,1,3,3,3,3,,,,,3,1,1,1,1,,1,3,3,3,3,3,2,1,1,1,1,4,,1,1,1,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,3,2,2,3,1,9,3,1,2,3,0.803486648070826
152957,2023-11-28T19:48:05Z,2023-11-28T19:59:49Z,3,1,2,2,1,2,1,1,,,,2,2,2,2,2,2,2,2,2,4,,,,,,,,,2,2,1,3,5,3,4,,,,,2,2,2,2,4,1,1,1,2,3,,3,2,2,3,3,99,3,3,5,1,4,,2,3,6,99,4,2,3,1,2,,1,1,1,1,1,2,1,2,5,2,,2,3,1,1,3,,2,1,1.6113173371570944
153346,2023-11-28T15:32:32Z,2023-11-28T16:03:55Z,1,1,1,1,1,2,2,1,2,4,4,,,,4,4,4,4,4,2,2,8,1,3,4,1,3,2,2,1,1,2,3,4,1,2,1,1,1,1,,,,,1,3,1,3,1,,2,4,1,3,1,5,2,5,2,1,3,1,1,1,4,8,1,4,1,1,6,2,,1,2,2,1,1,1,1,1,2,1,,1,1,1,8,2,1,1,2,0.11979992873249595
154578,2023-11-28T15:52:26Z,2023-11-28T16:04:46Z,2,1,2,1,1,2,2,1,,,,4,3,3,4,4,4,4,4,4,1,8,1,2,2,5,5,2,2,1,1,1,4,4,1,4,,,,,1,1,1,1,5,5,5,5,5,4,,5,3,4,3,5,2,3,1,5,3,3,1,1,4,9,2,3,2,3,2,1,1,1,1,3,1,5,1,2,1,5,1,,1,1,1,1,2,4,2,1,0.48466540257590274
154730,2023-11-28T15:54:36Z,2023-11-28T16:09:33Z,2,1,2,1,1,2,2,1,,,,4,3,3,4,4,4,3,4,2,2,8,1,1,4,3,3,2,2,1,1,1,3,4,2,2,,,,,1,1,1,1,2,2,1,3,1,2,,3,2,3,3,4,2,4,2,2,1,2,1,1,3,5,2,4,1,1,6,2,,1,2,2,1,3,1,2,1,3,1,,1,1,1,9,2,4,2,3,0.15150688018453798
154874,2023-11-27T21:50:28Z,2023-11-27T21:56:22Z,1,1,1,1,1,2,2,1,2,3,2,,,,3,4,4,2,3,3,4,6,4,4,4,4,4,1,3,2,2,2,2,2,3,1,3,3,3,3,,,,,2,3,1,2,1,,3,2,2,3,1,2,2,3,1,3,1,4,4,2,4,9,3,4,2,2,3,2,,1,1,1,1,5,1,2,1,5,1,,1,1,1,4,2,2,1,2,1.730826381993923
154948,2023-11-28T17:07:01Z,2023-11-28T17:15:19Z,2,1,1,2,1,1,1,1,4,2,4,,,,1,1,1,1,2,2,4,,,,,,,,,2,1,1,2,1,3,1,2,2,2,3,,,,,2,1,1,2,2,,1,2,4,1,2,2,1,3,3,3,1,3,,1,3,5,3,4,2,1,6,2,,1,1,1,1,1,10,,3,6,3,2,2,3,1,7,3,2,1,2,0.9377904691596383
155464,2023-11-28T15:27:02Z,2023-11-28T15:35:31Z,3,1,1,2,1,1,1,1,4,1,4,,,,1,1,1,2,2,5,4,,,,,,,,,2,2,2,3,2,3,4,2,2,2,2,,,,,4,5,5,5,5,,3,3,3,3,2,2,1,5,1,5,3,3,,1,4,9,1,3,2,3,2,2,,1,1,1,1,3,10,,3,6,2,,2,4,1,1,4,,2,1,2.4696568371397443
157570,2023-11-28T16:24:19Z,2023-11-28T16:51:39Z,2,1,2,1,1,2,2,1,,,,3,3,2,4,4,4,4,4,2,4,8,1,4,4,4,4,2,2,2,1,2,3,4,1,3,,,,,3,1,1,1,3,1,1,5,5,4,,4,3,3,4,4,1,4,3,6,2,3,3,1,4,9,2,4,2,3,2,2,,1,1,1,1,5,2,2,2,6,3,1,1,2,1,4,3,1,2,2,0.8264093779094147
158846,2023-11-28T21:05:12Z,2023-11-28T21:19:20Z,1,1,1,1,1,2,2,1,2,4,3,,,,4,4,4,3,4,2,3,8,1,2,4,3,3,2,2,1,1,2,3,5,2,2,1,3,1,1,,,,,2,5,1,5,2,,4,1,2,1,2,3,1,3,1,2,3,2,1,2,3,6,3,4,1,3,2,2,,1,1,1,1,3,1,1,1,1,1,,1,1,1,1,1,3,2,1,1.3738567718507564
161130,2023-11-30T22:51:26Z,2023-11-30T23:00:44Z,2,1,1,1,1,2,2,1,3,4,4,,,,3,3,4,3,4,2,3,3,2,2,3,5,5,1,2,1,2,1,4,2,3,1,1,3,1,1,,,,,4,5,5,5,5,,4,3,3,2,3,4,1,3,2,1,1,2,99,1,3,7,3,3,2,2,4,2,,1,1,1,1,1,12,,3,6,1,,1,1,1,9,2,2,2,3,1.007134674789486
161820,2023-12-01T10:25:38Z,2023-12-01T10:33:04Z,1,1,2,1,1,2,2,1,,,,3,2,1,3,3,3,3,4,2,2,8,1,5,2,5,2,2,1,1,1,2,3,3,1,1,,,,,1,1,1,1,3,1,3,1,3,3,,3,3,4,2,2,2,3,3,5,3,1,1,1,3,6,2,2,2,1,5,2,,4,1,1,4,3,2,2,2,6,1,,1,2,1,4,3,1,2,2,0.9668380093857196
165452,2023-11-29T16:48:05Z,2023-11-29T16:59:52Z,3,1,1,2,1,2,2,2,4,3,3,,,,2,1,2,2,2,2,4,,,,,,,,,2,2,1,3,3,1,1,2,2,2,2,,,,,3,2,5,5,5,,3,2,2,3,3,3,99,2,1,2,2,3,,1,3,5,3,4,2,99,99,2,,1,2,2,1,1,99,2,99,2,2,,2,3,1,99,3,,2,99,0.5962184975250445
167094,2023-11-28T16:05:50Z,2023-11-28T16:13:34Z,2,1,1,1,1,2,2,1,3,1,4,,,,4,4,4,4,4,4,2,8,1,2,4,2,4,2,3,2,2,2,3,4,1,2,1,3,1,3,,,,,1,3,1,3,2,,2,1,2,2,2,4,2,4,2,5,3,3,2,2,2,4,3,3,2,1,5,2,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,2,2,1,2,1.0304376400797435
171264,2023-11-28T20:39:44Z,2023-11-28T20:50:11Z,1,1,2,2,1,1,1,1,,,,2,2,2,1,1,1,1,1,2,4,,,,,,,,,2,1,2,3,2,3,1,,,,,2,2,2,2,2,1,1,2,2,1,,2,3,3,2,1,1,3,2,2,99,1,,1,3,6,3,4,1,1,5,2,,1,2,2,1,1,1,2,1,1,2,,2,3,1,5,2,3,2,99,0.07766160729852715
176308,2023-11-29T07:02:41Z,2023-11-29T07:09:11Z,2,1,2,1,1,2,2,1,,,,3,2,2,4,4,4,4,4,2,2,8,1,3,5,5,2,1,2,2,1,2,3,2,3,1,,,,,1,1,1,1,3,5,5,5,5,4,,2,1,2,3,3,1,4,2,2,2,2,1,2,2,3,3,3,2,3,2,2,,1,1,1,1,1,1,2,1,4,1,,1,2,1,9,3,2,2,3,1.0075986046456746
179691,2023-11-28T16:26:42Z,2023-11-28T16:52:28Z,1,1,2,1,1,2,2,1,,,,3,3,2,3,4,4,3,3,5,3,4,2,5,4,2,1,2,2,2,2,2,4,2,1,4,,,,,3,3,3,3,4,5,1,5,2,3,,3,3,3,3,3,1,4,2,2,3,2,3,1,2,3,3,3,1,2,4,2,,1,1,1,1,3,1,2,1,4,3,1,1,1,1,2,2,2,2,1,1.1325885062882015
181573,2023-11-28T17:07:51Z,2023-11-28T17:20:56Z,2,1,1,1,1,2,1,2,3,3,3,,,,2,2,2,2,2,2,3,99,3,5,5,2,5,1,2,2,99,1,5,5,99,4,3,3,3,3,,,,,4,5,5,5,5,,4,3,3,2,3,3,1,3,1,4,3,2,3,2,4,9,3,4,2,3,1,1,1,1,1,3,1,1,3,1,4,3,1,,1,1,1,4,2,3,1,1,0.4809471039481104
184735,2023-11-28T21:18:33Z,2023-11-28T21:46:35Z,2,1,2,1,1,2,2,1,,,,3,1,2,4,4,4,4,4,2,1,3,4,1,2,5,1,2,2,1,1,1,4,2,3,2,,,,,1,3,1,1,3,2,1,3,3,3,,3,3,1,1,1,1,4,2,4,2,2,5,1,3,5,2,3,2,1,6,2,,4,3,5,4,1,1,1,1,2,1,,1,1,1,9,2,1,1,3,0.10370909298056635
185394,2023-11-29T07:21:05Z,2023-11-29T07:25:42Z,1,1,2,2,1,2,1,2,,,,3,2,2,1,2,2,2,3,3,3,,,,,,,,,2,2,2,2,2,2,2,,,,,2,2,2,2,2,1,1,3,3,1,,2,4,2,2,2,2,2,2,3,2,3,,1,2,3,2,4,1,1,5,2,,1,3,5,1,2,9,,3,6,2,,2,4,1,2,5,2,2,2,0.09039990429139548
185435,2023-11-28T17:31:55Z,2023-11-28T17:39:44Z,1,1,2,1,1,2,2,1,,,,3,2,2,4,4,4,4,4,3,2,8,1,1,4,2,2,2,2,1,2,2,3,3,1,2,,,,,1,1,1,1,2,3,1,3,1,3,,2,3,2,3,5,2,4,2,3,3,2,1,1,4,8,3,3,1,2,4,2,,1,1,1,1,1,1,1,1,2,4,1,1,1,1,6,1,2,1,2,1.1910939235241131
185944,2023-11-30T11:22:27Z,2023-11-30T11:35:36Z,2,1,2,2,1,2,2,2,,,,3,3,3,1,3,1,1,3,4,4,,,,,,,,,2,99,1,4,5,4,1,,,,,3,3,2,2,3,99,99,99,99,1,,3,4,1,99,1,2,2,1,6,2,2,,1,3,5,1,3,2,3,2,2,,4,5,4,4,4,6,,4,3,2,,2,4,1,6,5,,2,2,1.1747242011338472
187312,2023-11-29T05:20:17Z,2023-11-29T05:24:47Z,1,1,1,2,1,2,1,2,4,3,4,,,,2,2,3,2,3,2,3,,,,,,,,,2,2,1,2,2,3,1,2,2,2,3,,,,,3,1,1,2,2,,3,3,3,99,3,3,1,3,1,3,2,3,,1,1,2,1,3,2,3,2,2,,1,1,1,1,1,2,2,2,4,2,,2,3,1,9,3,2,1,2,0.8930483879018083
